Site,Trap,Lures,Canopy,UTM,GroundCover,TreeDens,NoTreeSp,Dominant,Dominant,AvgDiameter,NoStumps,VolDeadWood,VolDeadWood1,DaySurv1,DaySurv2,DaySurv3,DaySurv4,DaySurv5,DaySurv6,DaySurv7,DaySurv8,DaySurv9,DaySurv10,DaySurv11,DaySurv12,Julian1,Julian2,Julian3,Julian4,Julian5,Julian6,Julian7,Julian8,Julian9,Julian10,Julian11,Julian12,Precip1,Precip2,Precip3,Precip4,Precip5,Precip6,Precip7,Precip8,Precip9,Precip10,Precip11,Precip12,Pdet1,Pdet2,Pdet3,Pdet4,Pdet5,Pdet6,Pdet7,Pdet8,Pdet9,Pdet10,Pdet11,Pdet12,Ptest1,Ptest2,Ptest3,Ptest4,Ptest5,Ptest6,Ptest7,Ptest8,Ptest9,Ptest10,Ptest11,Ptest12
Eselnita,E1,No Methyl Butanol,0.65,0605761 4954563,0.15,14,1,Fagus sylvatica,Fagus,51.43,0,3.02,3.02,18-May,20-May-15,22-May-15,26-May-15,29-May-15,1-Jun-15,3-Jun-15,7-Jun-15,8-Jun-15,10-Jun-15,12-Jun-15,14-Jun-15,137,139,141,145,148,151,153,157,158,160,162,164,0,11.8,0,5.8,0,0,0,0,0,1.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0
Eselnita,E2,All,0.8,0605840 4954586,0.5,10,4,Tilia cordata,Tilia,98.8,0,2388.68,2388.68,18-May,20-May-15,22-May-15,26-May-15,29-May-15,1-Jun-15,3-Jun-15,7-Jun-15,8-Jun-15,10-Jun-15,12-Jun-15,14-Jun-15,137,139,141,145,148,151,153,157,158,160,162,164,0,11.8,0,5.8,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,1,2,0,4,0,2,1,2,6,0,0,5,2,0,0,1,0,0
Eselnita,E3,All,0.9,0605893 4954616,0.35,14,3,Tilia cordata,Tilia,67.8,5,4844.11,4844.11,18-May,20-May-15,22-May-15,26-May-15,29-May-15,1-Jun-15,3-Jun-15,7-Jun-15,8-Jun-15,10-Jun-15,12-Jun-15,14-Jun-15,137,139,141,145,148,151,153,157,158,160,162,164,0,11.8,0,5.8,0,0,0,0,0,1.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,2,0,0,1,0
Eselnita,E4,All,0.85,0605888 4954676,0.2,9,4,Tilia cordata,Tilia,79.36,0,10987.31,10987.31,18-May,20-May-15,22-May-15,26-May-15,29-May-15,1-Jun-15,3-Jun-15,7-Jun-15,8-Jun-15,10-Jun-15,12-Jun-15,14-Jun-15,137,139,141,145,148,151,153,157,158,160,162,164,0,11.8,0,5.8,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,1,2,0,1,1,1,0,1,6,0,0,2,1,3,1,0,0,0
Eselnita,E5,No Methyl Butanol,0.7,0605926 4954725,0.25,11,2,Tilia cordata,Tilia,51.09,3,18356.56,18356.56,18-May,20-May-15,22-May-15,26-May-15,29-May-15,1-Jun-15,3-Jun-15,7-Jun-15,8-Jun-15,10-Jun-15,12-Jun-15,14-Jun-15,137,139,141,145,148,151,153,157,158,160,162,164,0,11.8,0,5.8,0,0,0,0,0,1.2,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,2,0,0,1,0,0,0,0,0,0
Eselnita,E6,All,0.6,0605594 4954833,0.15,10,3,Tilia cordata,Tilia,82.22,0,26761.97,26761.97,18-May,20-May-15,22-May-15,26-May-15,29-May-15,1-Jun-15,3-Jun-15,7-Jun-15,8-Jun-15,10-Jun-15,12-Jun-15,14-Jun-15,137,139,141,145,148,151,153,157,158,160,162,164,0,11.8,0,5.8,0,0,0,0,0,1.2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5,0,3,2,0,0,0,1,0,0,0,0
Eselnita,E7,All,0.6,0605956 4954859,0.15,15,4,Tilia cordata,Tilia,79.5,0,55197.15,55197.15,18-May,20-May-15,22-May-15,26-May-15,29-May-15,1-Jun-15,3-Jun-15,7-Jun-15,8-Jun-15,10-Jun-15,12-Jun-15,14-Jun-15,137,139,141,145,148,151,153,157,158,160,162,164,0,11.8,0,5.8,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,2,0,0,3,1,3,0,0,2,0,1,0,0,0,0,0,0
Eselnita,E8,All,0.7,0605869 4954941,0.85,10,4,Fagus sylvatica,Fagus,84.33,0,70445.89,70445.89,18-May,20-May-15,22-May-15,26-May-15,29-May-15,1-Jun-15,3-Jun-15,7-Jun-15,8-Jun-15,10-Jun-15,12-Jun-15,14-Jun-15,137,139,141,145,148,151,153,157,158,160,162,164,0,11.8,0,5.8,0,0,0,0,0,1.2,0,0,1,0,4,0,0,0,3,8,1,3,2,3,6,0,0,0,0,0,2,1,0,0,2,0
Eselnita,E9,All,0.9,0605866 4955003,0.25,12,5,Tilia cordata,Tilia,62.55,2,16917.95,16917.95,18-May,20-May-15,22-May-15,26-May-15,29-May-15,1-Jun-15,3-Jun-15,7-Jun-15,8-Jun-15,10-Jun-15,12-Jun-15,14-Jun-15,137,139,141,145,148,151,153,157,158,160,162,164,0,11.8,0,5.8,0,0,0,0,0,1.2,0,0,2,5,2,1,0,3,1,6,1,9,0,7,4,0,3,3,1,5,0,0,0,1,2,0
Eselnita,E10,No Methyl Butanol,0.9,0605845 4955075,0.8,17,5,Tilia cordata,Tilia,85,1,30553.50318,30553.50318,18-May,20-May-15,22-May-15,26-May-15,29-May-15,1-Jun-15,3-Jun-15,7-Jun-15,8-Jun-15,10-Jun-15,12-Jun-15,14-Jun-15,137,139,141,145,148,151,153,157,158,160,162,164,0,11.8,0,5.8,0,0,0,0,0,1.2,0,0,1,0,1,0,0,0,1,7,2,14,7,14,7,10,13,3,0,7,0,5,3,0,0,0
