NoCrt,Pond name,LISE1,LISE2,LISE3,LISE4,Date1,Date2,Date3,Date4,Julian1,Julian2,Julian3,Julian4,Wind1,Wind2,Wind3,Wind4,Sky1,Sky2,Sky3,Sky4,Area,Lily,WatTemp,DO,Beaver,DistMFsampl,DistMFbreed,JulyTemp
1,26 N 1,0,0,0,0,7/1/2011,7/14/2011,7/30/2011,8/13/2011,181,194,210,224,1,0,1,0,2,0,2,1,1099.7,N,22.42,1.54,fresh,2342,380,18.1
2,30 N 1,0,0,0,0,6/30/2011,7/14/2011,7/29/2011,8/13/2011,180,194,209,224,0,0,0,0,2,0,2,1,628.4,Y,18.35,1.03,none,552,552,18.4
3,9N 1,0,0,0,0,7/6/2011,7/18/2011,8/3/2011,8/16/2011,186,198,214,227,2,0,2,1,5,1,0,0,377.04,N,20.3,5.32,fresh,1598,1598,18.5
4,9N 2,0,0,0,0,7/6/2011,7/18/2011,8/3/2011,8/16/2011,186,198,214,227,0,0,1,1,3,1,0,0,4713,N,18.6,5.4,fresh,1598,1598,17.9
5,Bloomingdale,0,0,0,0,7/3/2011,7/16/2011,8/1/2011,8/15/2011,183,196,212,226,0,0,0,0,0,0,0,5,15710,N,19.44,1.76,none,4238,378,18.3
6,Bone Pond,0,1,0,1,6/29/2011,7/14/2011,7/28/2011,8/12/2011,179,194,208,223,1,0,0,0,3,0,2,0,175549.824,N,22.5,5.46,fresh,658,140,17.9
7,Brandy Pond,1,1,0,0,7/2/2011,7/16/2011,7/30/2011,8/14/2011,182,196,210,225,0,0,0,0,0,0,0,2,50422.816,Y,20.6,0.52,old,2116,272,18
8,Chapel Pond,0,0,0,0,7/6/2011,7/19/2011,8/2/2011,8/17/2011,186,199,213,228,0,0,2,1,0,1,0,0,227072.34,N,20.5,6.62,none,606,45,17.9
9,Cold Brook 1,0,0,0,0,6/30/2011,7/14/2011,7/29/2011,8/13/2011,180,194,209,224,0,0,0,0,2,0,2,1,1256.8,N,13.85,2.24,old,1202,489,18.2
10,Cooler Pond,0,0,0,0,6/28/2011,7/13/2011,7/27/2011,8/12/2011,178,193,207,223,0,0,0,1,0,1,0,2,88227.36,N,21.23,1.52,none,556,70,18
13,Etown 2,0,0,0,0,7/6/2011,7/18/2011,8/3/2011,8/16/2011,186,198,214,227,0,0,1,1,2,2,0,0,36949.92,N,20.4,5.09,none,8522,1467,20.2
14,Fish Hatch 2,0,1,0,0,6/29/2011,7/14/2011,7/28/2011,8/12/2011,179,194,208,223,3,0,0,0,2,0,2,0,27649.6,Y,22.09,0.81,old,206,206,18
15,Fish Hatch 3,0,1,0,0,6/29/2011,7/14/2011,7/28/2011,8/12/2011,179,194,208,223,3,0,0,0,2,1,0,0,35127.56,Y,23.01,0.89,none,206,206,17.9
16,Floodwood 1,0,0,0,0,7/1/2011,7/16/2011,7/30/2011,8/15/2011,181,196,210,226,0,0,0,0,0,0,0,2,5027.2,Y,21.3,0.43,none,111,111,18
17,Giants Washbowl,0,0,0,0,7/6/2011,7/19/2011,8/3/2011,8/17/2011,186,199,214,228,0,2,0,1,0,1,0,0,63876.86,N,20.4,5.11,fresh,606,606,16.5
18,Gordon Pond,0,0,0,0,7/1/2011,7/16/2011,7/30/2011,8/15/2011,181,196,210,226,0,0,0,0,0,0,0,2,65510.7,N,23.7,4.18,fresh,111,111,18
19,Hedgehog Pond,0,0,0,0,7/6/2011,7/19/2011,8/2/2011,8/16/2011,186,199,213,227,0,0,0,0,0,1,0,0,74144.916,Y,22.67,0.77,none,226,226,17.7
